longitude,latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,frost,targetGBIF.counts,species_occ
29.209375,66.06597222,0.094444439,8.569444656,22.087286,999.621521,19.5466671,-19.56333351,39.11000061,11.0088892,-7.479444504,12.61944485,-11.81444454,606.1466675,92.09000397,19.20000076,44.50484848,228.5800018,86.09666443,216.6799927,111.7900009,92.09999847,1,1
65.159375,66.06597222,-4.054583549,6.79361105,14.53245354,1353.987427,19.51000023,-27.46333313,46.97333527,9.444444656,-15.67277813,12.50444412,-20.50388908,467.8966675,79.26000214,14.22000027,51.19541931,191.5299988,60.48333359,181.4700012,68.87000275,98.83666992,1,1
21.22048611,65.56736111,1.800416708,8.790277481,23.38060379,974.1380005,20.72999954,-17.11000061,37.84000015,9.880555153,-2.470555544,13.91666698,-9.906110764,555.206665,78.92666626,20.09000015,39.75912476,201.0033264,84.37333679,178.8999939,117.3166656,85.12666321,6,1
65.159375,65.56736111,-3.969166756,7.04333353,14.91344929,1362.324097,19.72999954,-27.71333313,47.44333267,9.973333359,-16.56611061,12.64666653,-20.57722282,488.2600098,83.71666718,14.91666698,51.22185135,199.4900055,62.90000153,190.1000061,70.63999939,99.00666809,1,1
89.62534722,65.56736111,-6.448472023,8.644166946,15.84253597,1600.548462,21.62333298,-33.19333267,54.81666565,6.440555573,-18.03555489,13.49388885,-25.6922226,568.1266479,91.69999695,17.00333405,47.37520599,220.7133331,77.51667023,190.9499969,94.5,103.7733307,1,1
64.66006944,65.06875,-3.655972242,7.536388874,15.75301743,1365.958008,20.28333282,-27.75,48.03333282,9.969444275,-16.3544445,12.97166634,-20.37111092,511.5599976,87.93000031,16.57666588,50.54802322,207.8999939,67.52666473,199.2100067,75.21333313,98.26999664,1,1
24.715625,64.57013889,2.811111212,8.137778282,22.08685303,944.6040039,21.38333321,-15.84333324,37.2266655,11.57222176,-3.337777853,14.52000046,-8.571110725,514.3366699,78.11333466,15.97000027,44.82823181,194.2700043,70.76999664,177.2733307,94.58333588,75.97666931,5,1
25.21493056,64.57013889,2.913194418,7.977499962,21.67711449,947.4677124,21.44333267,-15.74666691,37.18999863,12.66166687,-3.63388896,14.68555546,-8.486666679,487.0700073,76.33666992,14.63333321,46.92154694,189.2599945,64.96666718,177.1233368,86.83333588,75.41333008,1,1
98.61284722,64.57013889,-10.11444473,10.32111073,16.66688919,1857.046631,21.15333366,-41.02000046,62.17333221,9.546667099,-27.94499969,12.2966671,-33.08833313,419.793335,81.31999969,10.55666637,62.52251816,190.2566681,42.34000015,181.75,51.26666641,118.1500015,1,1
99.61145833,64.57013889,-9.310832977,10.32055569,16.48914337,1895.310181,22.15666771,-40.66999817,62.82666779,10.61777782,-26.29333305,13.51611137,-32.82500076,395.2466736,77.96333313,10.19999981,62.31811523,180.9466705,41.55333328,173.5599976,51.22000122,114.046669,1,1
16.22743056,64.07152778,1.65513885,8.908055305,25.37335968,900.8305054,19.85000038,-15.45666695,35.30666733,11.49888897,-3.920555592,12.82722187,-9.161110878,575.6799927,96.54666901,20.26000023,47.14379883,228.6966705,80.30332947,217.4933319,110.1766663,87.66666412,1,1
41.69201389,64.07152778,1.628472209,7.993055344,19.66923141,1063.459229,22.08666611,-18.82666588,40.91333389,9.992777824,-5.98777771,14.56777763,-11.45388889,604.2533569,89.55000305,19.63999939,40.43755722,219.2266693,89.07333374,199.4433289,119.543335,80.22333527,1,1
60.665625,64.07152778,-2.206249952,9.304721832,19.07938957,1307.684204,22.26333237,-26.68666649,48.95000076,11.64777756,-13.93500042,13.57222271,-18.42388916,541.1900024,91.04333496,18.38333321,48.29397202,217.0233307,74.1966629,206.1666718,84.08333588,97.64333344,1,1
61.16493056,64.07152778,-2.311111212,9.246110916,18.93596268,1316.562012,22.12333298,-26.88666725,49.00999832,11.70444489,-15.25166702,13.56944466,-18.63833427,535.0733032,92.02000427,17.42000008,50.24682617,217.5366669,71.12999725,206.7233276,80.29666901,97.71333313,1,1
65.159375,64.07152778,-2.981666565,7.889444351,16.26293564,1387.4823,21.04000092,-27.67000008,48.70999908,10.78277779,-16.10888863,13.85000038,-20.07944489,538.9500122,96.24666595,15.82999992,53.09234619,221.0666656,68.1333313,211.0866699,78.02666473,95.98000336,1,1
91.62256944,64.07152778,-6.978333473,9.409999847,16.71934128,1634.793091,21.61000061,-34.92000198,56.52999878,7.38722229,-22.37611008,13.18666649,-26.93666649,583.7433472,94.54333496,19,46.85787201,228.5366669,76.34333038,204.7299957,91.36333466,107.5166702,1,1
97.11493056,64.07152778,-8.668611526,10.21722221,16.7694931,1802.45166,21.98333359,-39.18999863,61.17333221,8.015000343,-25.5988884,13.05555534,-31.05055618,454.0866699,82.33000183,12.60000038,57.07860565,193.8966675,49.87666702,182.5800018,62.4366684,113.253334,1,1
128.5711806,64.07152778,-14.35986137,10.96305561,15.83487129,2227.008057,20.88333321,-48.41333389,69.29666901,10.13333321,-36.4383316,11.78222179,-42.16110992,336.7333374,80.93000031,4.593333244,86.18841553,185.6533356,22.02666664,175.0566711,26.1566658,126.8733368,1,1
9.736458333,63.57291667,6.053472042,5.161388874,24.21453285,538.4442139,17.72999954,-3.823333263,21.55333328,4.820000172,7.13722229,12.92277813,0.091666661,1183.290039,180.9199982,39.01666641,45.13674927,425.1300049,180.0333252,279.3999939,311.043335,45.31666565,1,1
22.71840278,63.57291667,4.117083549,6.810833454,20.70898247,855.1876831,20.62666702,-12.7033329,33.33000183,10.41444397,-1.675000072,14.71333313,-6.151111126,497.1499939,80.26000214,14.70666695,48.22121811,189.7599945,64.21333313,163.1999969,87.10333252,61.04000092,4,1
28.21076389,63.57291667,3.234583378,8.135277748,21.3011322,990.0564575,22.31333351,-16.29000092,38.60333252,13.69722176,-4.897777557,15.4416666,-8.784999847,526.0300293,83.44000244,15.69999981,47.09341431,207.1066589,70.46666718,194.4666595,89.47000122,72.09333038,1,1
28.71006944,63.57291667,3.024027824,8.47305584,21.85442162,993.9743652,22.33333397,-16.84666634,39.18000031,12.26833344,-5.037222385,15.26777744,-9.069999695,542.2600098,83.5633316,16.75,45.0958519,209.093338,74.77000427,196.2899933,94.27999878,73.65999603,3,1
