longitude,latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,frost,targetGBIF.counts,species_occ
29.209375,66.06597222,-1.202916622,8.423610687,21.98917389,1006.7052,18.44000053,-20.10333252,38.54333496,9.067777634,-9.675000191,11.53444481,-12.90166664,521.6266479,90.98332977,17.10333252,51.27042389,213.1300049,72.29000092,198.3500061,82.36333466,99.15333557,1,1
65.159375,66.06597222,-5.438472271,6.963611126,15.05467224,1370.116089,18.2266674,-28.21999931,46.44666672,9.651666641,-17.33944511,11.59888935,-21.69833374,369.456665,77.36000061,8.316666603,68.67977905,178.2200012,35.68000031,162.0633392,45.97333527,101.9400024,1,1
21.22048611,65.56736111,0.455555558,8.944444656,23.50195313,995.9266357,20.09000015,-18.2033329,38.29333496,8.533888817,-5.043889046,12.94555569,-11.25,467.4933472,80.42333221,13.56999969,51.64006042,190.7299957,63.75333405,157.0666656,86.82666779,92.47333527,6,1
65.159375,65.56736111,-5.361249924,7.215833187,15.44256306,1378.777588,18.4066658,-28.49666595,46.90333176,9.752778053,-17.18833351,11.73222256,-21.80388832,388.2633362,80.23999786,9.149999619,66.6833725,185.5500031,38.75666809,170,48.37666702,102.0933304,1,1
89.62534722,65.56736111,-7.978750229,9.502500534,16.87161446,1648.388672,21.15333366,-35.37666702,56.52999878,7.819444656,-20.62833405,12.58500004,-27.49888802,469.8366699,88.47000122,11.6833334,59.02328491,200.2700043,51.80666733,177.3733368,64.73332977,105.7833328,1,1
64.66006944,65.06875,-4.989999771,7.647777557,16.14843178,1384.935791,18.9533329,-28.57333374,47.52666855,10.38722229,-18.14444351,12.15611076,-21.59055519,408.5333252,81.32333374,10.5,63.19962692,191.2833405,43.29000092,178.2899933,51.93999863,101.1866684,1,1
24.715625,64.57013889,1.489722252,8.191111565,22.26982498,953.5823364,20.55666733,-16.5,37.05666733,9.04777813,-5.347777843,13.41055584,-9.733333588,465.0766602,76.65333557,14.49666691,48.06044388,185.7599945,63.72999954,164.5700073,81.15666962,84.26000214,5,1
25.21493056,64.57013889,1.594722271,8.034444809,21.85744095,957.27771,20.63333321,-16.39999962,37.03333282,10.94888878,-4.776111126,13.57444477,-9.671667099,439.9033203,75.19000244,13.02000046,51.00564194,179.9400024,58.27666473,165.1399994,75.23000336,83.5,1,1
98.61284722,64.57013889,-11.7211113,11.19666672,17.43677521,1916.115356,20.85333252,-43.50666809,64.36000061,11.4416666,-30.68000031,11.4416666,-35.35889053,419.0966797,66.24333191,12.76000023,52.3727951,184.2666626,45.61666489,184.2666626,54.91666794,120.6466675,1,1
99.61145833,64.57013889,-10.97236156,11.21972275,17.30991173,1954.805176,21.86333275,-43.08000183,64.94333649,12.6133337,-30.26166725,12.6133337,-35.16611099,392.3666687,62.17333221,12.75,52.74892426,175.2200012,44.58666611,175.2200012,53.73666763,116.6299973,1,1
16.22743056,64.07152778,0.384166658,8.920000076,24.88320541,922.5923462,18.92000008,-17.17000008,36.09000015,10.4622221,-5.443333149,11.88222218,-10.53222275,509.7366638,89.99666595,14.46000004,51.96814728,209.1999969,67.04000092,198.5500031,90.47333527,95.91000366,1,1
41.69201389,64.07152778,0.36833334,7.660555363,19.00041008,1084.120483,20.59000015,-19.94666672,40.53666687,9.92388916,-5.740000248,13.70722198,-12.72777748,577.5933228,87.87999725,19.83666611,41.7135849,210.656662,86.8833313,185.0633392,109.7900009,86.01667023,1,1
