"x","y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","frost","counts.cru","species_occ"
142.551736111769,-10.7201388886667,26.8719444274902,6.76277780532837,63.2371482849121,112.935081481934,32.0533332824707,21.3366661071777,10.7166662216187,27.4811115264893,25.7038879394531,28.1105556488037,25.3561115264893,1915.55993652344,424.950012207031,24.3400001525879,91.5095367431641,1086.93005371094,106.069999694824,587.366638183594,133.440002441406,0,NA,0
132.066319445027,-11.2187499997778,27.3244438171387,9.58111095428467,61.9734573364258,158.402679443359,34.3566665649414,18.8466663360596,15.5100002288818,28.0705547332764,25.3633327484131,28.8744449615479,25.0977783203125,1354.13000488281,379.063323974609,0.180000007152557,119.016098022461,887.723327636719,1.6966667175293,399.1533203125,3.12000012397766,0,NA,0
132.565625000586,-11.2187499997778,27.075138092041,11.8141670227051,63.7099227905273,178.932647705078,35.6399993896484,17.0533332824707,18.5866661071777,28.03444480896,24.9838886260986,28.8444442749023,24.5699996948242,1485.67333984375,380.863342285156,2.27999997138977,107.215675354004,897.67333984375,17.5366668701172,436.866668701172,35.2133331298828,0,NA,0
142.551736111769,-11.2187499997778,26.9688892364502,8.03166675567627,65.4590606689453,119.388565063477,32.8766670227051,20.5833339691162,12.2933330535889,27.6516666412354,26.1561107635498,28.2216663360596,25.3527774810791,1767.62670898438,466.703338623047,5.00666666030884,116.086959838867,1165.43334960938,27.4366664886475,541.599975585938,65.0833358764648,0,NA,0
130.06909722279,-11.7173611108889,27.3983325958252,9.6588888168335,61.9363784790039,155.33625793457,34.1733322143555,18.5366668701172,15.6366662979126,28.0544452667236,25.4572219848633,28.875,25.2233333587646,1844.74670410156,528.806640625,0.0233333334326744,119.149925231934,1213.25671386719,2.63333320617676,504.709991455078,3.95333337783813,0,NA,0
130.568402778349,-11.7173611108889,27.3313884735107,9.65166664123535,61.8311614990234,156.179321289062,34.1100006103516,18.453332901001,15.6566667556763,27.9727783203125,25.4105548858643,28.7950000762939,25.1338882446289,1755.63671875,500.793334960938,0.00999999977648258,118.807884216309,1150.98999023438,2.50666666030884,491.686676025391,3.60999989509583,0,NA,0
131.067708333909,-11.7173611108889,27.3813896179199,9.73499965667725,61.386604309082,162.327835083008,34.3466682434082,18.4366664886475,15.9099998474121,28.0805549621582,25.3266658782959,28.9400005340576,25.0805549621582,1587.81665039062,452.440002441406,0.00999999977648258,118.746459960938,1040.27331542969,1.88333332538605,441.970001220703,2.61333346366882,0,NA,0
132.565625000586,-11.7173611108889,27.4994449615479,10.152777671814,60.6263084411621,173.293975830078,35.1166648864746,18.3233337402344,16.7933330535889,28.2905559539795,25.2355556488037,29.2327785491943,25.0405559539795,1343.22668457031,391.143341064453,0.0666666701436043,123.238410949707,915.349975585938,0.996666669845581,373.886657714844,1.61333334445953,0,NA,0
133.064930556145,-11.7173611108889,27.4044437408447,9.95499992370605,60.5015716552734,175.408096313477,34.8766670227051,18.3766670227051,16.5,28.3216667175293,25.4027786254883,29.1572227478027,24.911111831665,1255.7099609375,356.790008544922,0.269999980926514,122.979011535645,850.473327636719,1.93666660785675,381.273345947266,3.08333325386047,0,NA,0
142.05243055621,-11.7173611108889,26.9131946563721,8.56694412231445,64.5156021118164,128.088928222656,33.25,19.9466667175293,13.3033332824707,27.6149997711182,26.0766658782959,28.2672214508057,25.1533336639404,1667.0400390625,470.306671142578,3.01999998092651,123.088111877441,1144.61328125,20.4566669464111,472.663330078125,47.5200004577637,0,NA,0
142.551736111769,-11.7173611108889,26.7580547332764,8.38666725158691,64.3705902099609,129.640548706055,32.9833335876465,19.9300003051758,13.053334236145,27.5261116027832,26.0255546569824,28.1044445037842,24.9855556488037,1771.28002929688,484.733337402344,5.67666673660278,117.312553405762,1173.36669921875,33.9599990844727,549.466674804688,74.1533355712891,0,NA,0
131.067708333909,-12.215972222,27.4888896942139,10.4483327865601,60.4817848205566,176.062515258789,34.939998626709,17.6166667938232,17.3233337402344,28.2627773284912,25.1911106109619,29.161111831665,24.9750003814697,1586.1533203125,470.739990234375,0,122.221420288086,1073.20666503906,1.20000004768372,382.269989013672,1.52333331108093,0,NA,0
132.565625000586,-12.215972222,27.6730556488037,11.1683330535889,60.5816612243652,185.407516479492,36.0999984741211,17.6166667938232,18.4833335876465,28.4844436645508,25.2633323669434,29.522777557373,25.0405559539795,1402.03002929688,417.100006103516,0.0600000023841858,125.088020324707,972.476684570312,1.06666672229767,367.940002441406,1.31333327293396,0,NA,0
133.064930556145,-12.215972222,27.0808334350586,11.4099998474121,60.9404563903809,189.680236816406,35.6366653442383,16.8666667938232,18.7700004577637,28.0205554962158,24.7049999237061,28.9822216033936,24.3833332061768,1366.32336425781,393.966674804688,0.480000019073486,123.061973571777,934.336669921875,3.31666660308838,399.536651611328,4.65000009536743,0,NA,0
133.564236111704,-12.215972222,27.0599994659424,11.0511112213135,60.6716041564941,194.175567626953,35.189998626709,16.9333324432373,18.2566661834717,28.1527786254883,24.6677780151367,28.9922218322754,24.3055553436279,1299.25671386719,363.083343505859,0.569999992847443,122.237983703613,875.779968261719,3.93666672706604,415.926666259766,5.04333353042603,0,NA,0
134.063541667263,-12.215972222,27.2331943511963,10.7180557250977,60.4882736206055,193.936218261719,34.939998626709,17.1800003051758,17.7600002288818,28.3772220611572,24.7238883972168,29.1650009155273,24.4794445037842,1262.94995117188,349.489990234375,0.280000001192093,123.147789001465,847.090026855469,3.04666662216187,402.579986572266,3.8733332157135,0,NA,0
